Date,Country,Confirmed_Cases,Deaths,Recovered,Active_Cases,Vaccinations
2020-01-01,USA,20260,6950,-18886,32196,30570967
2020-01-01,India,691513,13648,689727,-11862,21328086
2020-01-01,Brazil,622437,15943,611677,-5183,2056213
2020-01-01,UK,240317,7944,207264,25109,15983376
2020-01-01,Germany,282921,7158,261529,14234,30838399
2020-01-01,France,165154,5272,156846,3036,25442610
2020-01-01,Russia,314750,16177,281896,16677,12787214
2020-01-01,Japan,528064,286,493563,34215,49008959
2020-01-01,Canada,336841,2037,300334,34470,26033119
2020-01-01,Australia,594439,1290,549800,43349,33129776
2020-01-02,USA,234265,6105,211219,16941,14350204
2020-01-02,India,529343,11367,523245,-5269,13976758
2020-01-02,Brazil,302956,7124,268607,27225,2490073
2020-01-02,UK,688596,9968,679765,-1137,47826917
2020-01-02,Germany,855537,13273,824864,17400,15572720
2020-01-02,France,458330,7671,410361,40298,19098598
2020-01-02,Russia,228132,4833,194472,28827,1762844
2020-01-02,Japan,454173,1405,432682,20086,30336700
2020-01-02,Canada,530026,18235,523980,-12189,28637955
2020-01-02,Australia,859411,7155,823719,28537,22080550
2020-01-03,USA,591984,6129,546167,39688,22553826
2020-01-03,India,188674,8595,158345,21734,11006016
2020-01-03,Brazil,500796,16025,454244,30527,37762070
2020-01-03,UK,214057,9447,207230,-2620,40334346
2020-01-03,Germany,445011,12719,429528,2764,41911054
2020-01-03,France,692617,10856,674341,7420,33362546
2020-01-03,Russia,730277,3999,686009,40269,37427844
2020-01-03,Japan,313374,2689,308015,2670,28064957
2020-01-03,Canada,978019,997,969296,7726,4743668
2020-01-03,Australia,475440,12229,440588,22623,30260044
2020-01-04,USA,629110,19333,628001,-18224,22147823
2020-01-04,India,570592,17681,525600,27311,23281058
2020-01-04,Brazil,830272,5350,781948,42974,13271266
2020-01-04,UK,964656,15222,936186,13248,11021399
2020-01-04,Germany,65783,13492,56167,-3876,46367019
2020-01-04,France,681281,9845,677464,-6028,15371524
2020-01-04,Russia,786601,5138,771797,9666,32851797
2020-01-04,Japan,317408,13755,313916,-10263,33162678
2020-01-04,Canada,484014,11351,450684,21979,22875334
2020-01-04,Australia,188215,2925,177285,8005,42635750
2020-01-05,USA,207351,16361,184076,6914,22018652
2020-01-05,India,598343,16653,580569,1121,28850401
2020-01-05,Brazil,707533,3647,676465,27421,5745702
2020-01-05,UK,597467,9093,592152,-3778,29513766
2020-01-05,Germany,75794,5693,55360,14741,6789281
2020-01-05,France,818658,4299,787871,26488,4781365
2020-01-05,Russia,618395,12228,574045,32122,48212095
2020-01-05,Japan,627744,9993,613779,3972,9677743
2020-01-05,Canada,52954,9744,50442,-7232,3069513
